0x82cf,PA
0x82d0,HI
0x82d1,BI
0x82d2,PI
0x82d3,FU
0x82d4,BU
0x82d5,PU
0x82d6,HE
0x82d7,BE
0x82d8,PE
0x82d9,HO
0x82da,BO
0x82db,PO
0x82dc,MA
0x82dd,MI
0x82de,MU
0x82df,ME
0x82e0,MO
0x82e1,YA
0x82e2,YA
0x82e3,YU
0x82e4,YU
0x82e5,YO
0x82e6,YO
0x82e7,RA
0x82e8,RI
0x82e9,RU
0x82ea,RE
0x82eb,RO
0x82ec,WA
0x82ed,WA
0x82ee,WI
0x82ef,WE
0x82f0,WO
0x82f1,NN
0x8340,AA
0x8341,AA
0x8342,II
0x8343,II
0x8344,UU
0x8345,UU
0x8346,EE
0x8347,EE
0x8348,OO
0x8349,OO
0x834a,KA
0x834b,GA
0x834c,KI
0x834d,GI
0x834e,KU
0x834f,GU
0x8350,KE
0x8351,GE
0x8352,KO
0x8353,GO
0x8354,SA
0x8355,ZA
0x8356,SH
0x8357,JI
0x8358,SU
0x8359,ZU
0x835a,SE
0x835b,ZE
0x835c,SO
0x835d,ZO
0x835e,TA
0x835f,DA
0x8360,CH
0x8361,JI
0x8362,
0x8363,TS
0x8364,ZU
0x8365,TE
0x8366,DE
0x8367,TO
0x8368,DO
0x8369,NA
0x836a,NI
0x836b,NU
0x836c,NE
0x836d,NO
0x836e,HA
0x836f,BA
0x8370,PA
0x8371,HI
0x8372,BI
0x8373,PI
0x8374,FU
0x8375,BU
0x8376,PU
0x8377,HE
0x8378,BE
0x8379,PE
0x837a,HO
0x837b,BO
0x837c,PO
0x837d,MA
0x837e,MI
0x837f,
0x8380,MU
0x8381,ME
0x8382,MO
0x8383,YA
0x8384,YA
0x8385,YU
0x8386,YU
0x8387,YO
0x8388,YO
0x8389,RA
0x838a,RI
0x838b,RU
0x838c,RE
0x838d,RO
0x838e,WA
0x838f,WA
0x8390,WI
0x8391,WE
0x8392,WO
0x8393,NN
0x8394,VV
0x8395,KA
0x8396,KU
0x8397,DE
0x8398,DF
0x8399,DG
0x839a,DH
0x839b,DI
0x839c,DJ
0x839d,DK
0x839e,DL
0x839f,DM
0x83a0,DN
0x83a1,DO
0x83a2,DP
0x83a3,DQ
0x83a4,DR
0x83a5,DS
0x83a6,DT
0x83a7,DU
0x83a8,DV
0x83a9,DW
0x83aa,DX
0x83ab,DY
0x83ac,DZ
0x83ad,Da
0x83ae,Db
0x83af,Dc
0x83b0,Dd
0x83b1,De
0x83b2,Df
0x83b3,Dg
0x83b4,Dh
0x83b5,Di
0x83b6,Dj
0x83b7,Dk
0x83b8,Dl
0x83b9,Dm
0x83ba,Dn
0x83bb,Do
0x83bc,Dp
0x83bd,Dq
0x83be,Dr
0x83bf,Ds
0x83c0,Dt
0x83c1,Du
0x83c2,Dv
0x83c3,Dw
0x83c4,Dx
0x83c5,Dy
0x83c6,Dz
0x83c7,D、
0x83c8,D.
0x83c9,D?
0x83ca,D!
0x83cb,D"
0x83cc,D 
0x83cd,EA
0x83ce,EB
0x83cf,EC
0x83d0,ED
0x83d1,EE
0x83d2,EF
0x83d3,EG
0x83d4,EH
0x83d5,EI
0x83d6,EJ
0x8440,
0x8441,
0x8442,
0x8443,
0x8444,
0x8445,
0x8446,#@
0x8447,#+
0x8448,#^
0x8449,#=
0x844a,#<
0x844b,#>
0x844c,#P
0x844d,#S
0x844e,#T
0x844f,
0x8450,
0x8451,
0x8452,#]
0x8453,#L
0x8454,#t
0x8455,#M
0x8456,#B
0x8457,#e
0x8458,#W
0x8459,#h
0x845a,#Y
0x845b,#o
0x845c,#[
0x845d,#~
0x845e,EK
0x845f,EL
0x8460,EM
0x8461,EN
0x8462,EO
0x8463,EP
0x8464,EQ
0x8465,ER
0x8466,ES
0x8467,ET
0x8468,EU
0x8469,EV
0x846a,EW
0x846b,EX
0x846c,EY
0x846d,EZ
0x846e,Ea
0x846f,Eb
0x8470,Ec
0x8471,Ed
0x8472,Ee
0x8473,Ef
0x8474,Eg
0x8475,Eh
0x8476,Ei
0x8477,Ej
0x8478,Ek
0x8479,El
0x847a,Em
0x847b,En
0x847c,Eo
0x847d,Ep
0x847e,Eq
0x847f,Er
0x8480,Es
0x8481,Et
0x8482,Eu
0x8483,Ev
0x8484,Ew
0x8485,Ex
0x8486,Ey
0x8487,Ez
0x8488,E、
0x8489,E.
0x848a,E?
0x848b,E!
0x848c,E"
0x848d,E 
0x848e,FA
0x848f,FB
0x8490,FC
0x8491,FD
0x8492,FE
0x8493,FF
0x8494,FG
0x8495,FH
0x8496,FI
0x8497,FJ
0x8498,FK
0x8499,FL
0x849a,FM
0x849b,FN
0x849c,FO
0x849d,FP
0x849e,FQ
0x849f,FR
0x84a0,FS
0x84a1,FT
0x84a2,FU
0x84a3,FV
0x84a4,FW
0x84a5,FX
0x84a6,FY
0x84a7,FZ
0x84a8,Fa
0x84a9,Fb
0x84aa,Fc
0x84ab,Fd
0x84ac,Fe
0x84ad,Ff
0x84ae,Fg
0x84af,Fh
0x84b0,Fi
0x84b1,Fj
0x84b2,Fk
0x84b3,Fl
0x84b4,Fm
0x84b5,Fn
0x84b6,Fo
0x84b7,Fp
0x84b8,Fq
0x84b9,Fr
0x84ba,Fs
0x84bb,Ft
0x84bc,Fu
0x889f,Fv
0x88a0,Fw
0x88a1,Fx
0x88a2,Fy
0x88a3,Fz
0x88a4,F、
0x88a5,F.
0x88a6,F?
0x88a7,F!
0x88a8,F"
0x88a9,F 
0x88aa,GA
0x88ab,GB
0x88ac,GC
0x88ad,GD
0x88ae,GE
0x88af,GF
0x88b0,GG
0x88b1,GH
0x88b2,GI
0x88b3,GJ
0x88b4,GK
0x88b5,GL
0x88b6,GM
0x88b7,GN
0x88b8,GO
0x88b9,GP
0x88ba,GQ
0x88bb,GR
0x88bc,GS
0x88bd,GT
0x88be,GU
0x88bf,GV
0x88c0,GW
0x88c1,GX
0x88c2,GY
0x88c3,GZ
0x88c4,Ga
0x88c5,Gb
0x88c6,Gc
0x88c7,Gd
0x88c8,Ge
0x88c9,Gf
0x88ca,Gg
0x88cb,Gh
0x88cc,Gi
0x88cd,Gj
0x88ce,Gk
0x88cf,Gl
0x88d0,Gm
0x88d1,Gn
0x88d2,Go
0x88d3,Gp
0x88d4,Gq
0x88d5,Gr
0x88d6,Gs
0x88d7,Gt
0x88d8,Gu
0x88d9,Gv
0x88da,Gw
0x88db,Gx
0x88dc,Gy
0x88dd,Gz
0x88de,G、
0x88df,G.
0x88e0,G?
0x88e1,G!
0x88e2,G"
0x88e3,G 
0x88e4,HA
0x88e5,HB
0x88e6,HC
0x88e7,HD
0x88e8,HE
0x88e9,HF
0x88ea,HG
0x88eb,HH
0x88ec,HI
0x88ed,HJ
0x88ee,HK
0x88ef,HL
0x88f0,HM
0x88f1,HN
0x88f2,HO
0x88f3,HP
0x88f4,HQ
0x88f5,HR
0x88f6,HS
0x88f7,HT
0x88f8,HU
0x88f9,HV
0x88fa,HW
0x88fb,HX
0x88fc,HY
0x88fd,HZ
0x88fe,Ha
0x88ff,Hb
0x8940,Hc
0x8941,Hd
0x8942,He
0x8943,Hf
0x8944,Hg
0x8945,Hh
0x8946,Hi
0x8947,Hj
0x8948,Hk
0x8949,Hl
0x894a,Hm
0x894b,Hn
0x894c,Ho
0x894d,Hp
0x894e,Hq
0x894f,Hr
0x8950,Hs
0x8951,Ht
0x8952,Hu
0x8953,Hv
0x8954,Hw
0x8955,Hx
0x8956,Hy
0x8957,Hz
0x8958,H、
0x8959,H.
0x895a,H?
0x895b,H!
0x895c,H"
0x895d,H 
0x895e,IA
0x895f,IB
0x8960,IC
0x8961,ID
0x8962,IE
0x8963,IF
0x8964,IG
0x8965,IH
0x8966,II
0x8967,IJ
0x8968,IK
0x8969,IL
0x896a,IM
0x896b,IN
0x896c,IO
0x896d,IP
0x896e,IQ
0x896f,IR
0x8970,IS
0x8971,IT
0x8972,IU
0x8973,IV
0x8974,IW
0x8975,IX
0x8976,IY
0x8977,IZ
0x8978,Ia
0x8979,Ib
0x897a,Ic
0x897b,Id
0x897c,Ie
0x897d,If
0x897e,#¥
0x897f,Ig
0x8980,Ih
0x8981,Ii
0x8982,Ij
0x8983,Ik
0x8984,Il
0x8985,Im
0x8986,In
0x8987,Io
0x8988,Ip
0x8989,Iq
0x898a,Ir
0x898b,Is
0x898c,It
0x898d,Iu
0x898e,Iv
0x898f,Iw
0x8990,Ix
0x8991,Iy
0x8992,Iz
0x8993,I、
0x8994,I.
0x8995,I?
0x8996,I!
0x8997,I"
0x8998,I 
0x8999,JA
0x899a,JB
0x899b,JC
0x899c,JD
0x899d,JE
0x899e,JF
0x899f,JG
0x89a0,JH
0x89a1,JI
0x89a2,JJ
0x89a3,JK
0x89a4,JL
